name,predictor_set,r2_oos,cw_stat,cw_pvalue,ann_return,ann_vol,sharpe,cer_delta
tail,GW,-0.1086222411000648,0.9403411211791416,0.17352130657510245,11.903413379976403,19.788100438947385,0.6015440146315326,-0.2592125249608985
skvw,GW,-0.244954791202745,1.5511320963550503,0.060435015410747916,14.26217712902563,21.60090774152358,0.6602582307969097,0.9740967799491731
infl,GW,-0.358075311096151,0.6643933623146626,0.25321929003314725,12.27115678392821,20.951637158803372,0.5856896380420643,-0.6025018307932974
ntis,GW,-0.6680949913983936,1.0219926025304962,0.1533922008094163,11.144204525907512,19.388161423899067,0.5747942923649514,-0.7833996452892631
wtexas,GW,-0.6967538151005481,0.8988858982188116,0.18435672000791703,13.487564981277824,19.4005824782016,0.6952144347435129,1.552733853666025
dtoy,GW,-0.8153036934297031,-0.24298628289639063,0.5959919881389777,12.50579257965739,21.500086000844536,0.5816624444742293,-0.7171050112075328
e/p,GW,-0.8218578159224998,0.355530587728943,0.3610960670199035,14.654420847638278,18.02000722406852,0.8132305756273516,3.494518822096798
tms,GW,-0.8293555708661193,-0.33082978873316987,0.6296134707311944,12.496945828161202,20.56370283647684,0.6077186549298673,-0.13513440725193693
ndrbl,GW,-0.844651778399208,-0.6461361368871006,0.740904402921705,12.417319373860686,20.721847779746962,0.5992380363877142,-0.3126973774536328
ltr,GW,-0.8859570169554853,-0.40670631988266576,0.6578881508894125,12.068846245442675,20.816967141410444,0.5797600660777599,-0.7204376892650126
lty,GW,-0.9613541661937397,0.9357818597419908,0.17469275661027361,14.250664226066808,21.895438800105833,0.650850816746268,0.7704185021198562
d/p,GW,-1.067149561070413,0.045437010127628914,0.4818794908107952,10.932606368566763,19.211858831253327,0.5690551062545753,-0.8929185479225898
lzrt,GW,-1.074416846408921,0.8240564926104615,0.20495372976409,12.907049478430235,19.44899670482351,0.6636357481221219,0.9440052658574425
dtoat,GW,-1.2437593654206047,-0.3554186271279752,0.6388620018966437,11.05406221922827,21.81729276969247,0.506665164001651,-2.374943857958117
rdsp,GW,-1.4874739086483402,-1.1755917203912427,0.8801209671516648,12.46135987994289,19.57480346354989,0.6366020431902217,0.4246738001845607
tbl,GW,-1.6722546845875597,-0.09867667322522845,0.5393025047373963,13.588776051421744,20.910468024243347,0.6498551842869839,0.7409688363189382
b/m,GW,-1.7376645264602253,0.00883609223474794,0.49647495508463546,10.385903354430473,19.42137964867625,0.5347665069272445,-1.5610385776490237
dfy,GW,-1.799762493151591,0.6177328296470808,0.2683757337193162,13.253137387290876,18.702511095927278,0.7086287675122366,1.7172864476823735
dfr,GW,-1.9242225392334333,-0.48929953382427427,0.68768517446816,11.028665908517013,19.544226761114537,0.5642927726595866,-0.9900782070402272
ygap,GW,-1.9271197138104545,0.016943588812922336,0.493240809452933,13.755247459954301,17.72415117673428,0.7760736930527998,2.7539723157090785
avgcor,GW,-2.0011360361647634,-0.4993541073327466,0.6912350281545045,11.194509999100932,21.61289532350279,0.5179551296363121,-2.101340785078655
d/e,GW,-4.950142549665326,0.3922715720361685,0.3474287830306093,15.73345570731621,20.297425582347024,0.7751453820330708,3.2645813080432236
svar,GW,-9.005989858799012,-0.9663881077388125,0.8330749937141019,11.491767968233729,20.153364054815682,0.570215867533428,-0.8896953928645805
