name,predictor_set,r2_oos,cw_stat,cw_pvalue,ann_return,ann_vol,sharpe,cer_delta
CF,LS,0.816207080538256,2.032855184778802,0.021033577933056047,13.123833452031471,18.09903243041475,0.725112433633599,1.854286605979941
ShareIss1Y,LS,0.5844309016132976,1.7013306805937394,0.044440454960274156,14.227619119939439,17.66938151537101,0.8052131936572029,3.1885912506099574
BM,LS,0.4966613237204265,1.3885124995549174,0.08249052062342688,13.471736959083861,19.140318247448988,0.7038408026929943,1.6205379975859717
XFIN,LS,0.3516189432812067,1.158982479196901,0.1232316634312427,12.129368914158574,17.458082573759878,0.694770967138708,1.20167698458184
Accruals,LS,0.3321339431090031,1.159028692540933,0.12322224486304512,12.839128338921062,17.669128435239053,0.7266418593299085,1.8002346217130034
roaq,LS,0.2917353987861415,1.1258077331311067,0.13012345510270018,11.871149335720133,17.678348933777542,0.6715078076685232,0.8273667980607717
Cash,LS,0.27947002492693107,1.1800332816514505,0.11899348909213625,12.822497932575613,18.66605145214511,0.6869421722879719,1.2402535580702256
EntMult,LS,0.2614054411382738,0.917615215030975,0.17941017472093534,13.103789785857733,18.9198883283657,0.6925934000472844,1.3784349481968432
InvGrowth,LS,0.24733561097466383,1.3936069054139337,0.08171817105507062,13.265689747496726,17.72195181257764,0.7485456392044689,2.1987538844934074
NetDebtFinance,LS,0.22605959883873483,1.1073487633487207,0.13407158450192824,11.646887407256454,18.58935234139762,0.6265354055030405,0.10750487787361518
ReturnSkew,LS,0.1866678751638262,0.9745823569034073,0.16488373437798653,12.70698723146827,17.575216975974246,0.7230059946821159,1.7177412328862127
VolMkt,LS,0.16556761928707697,0.8175266883944151,0.206813751977187,12.492595985097196,18.15066152999993,0.6882722133542669,1.1949760531544467
TotalAccruals,LS,0.1597990925071735,1.007255875852407,0.15690591394383646,12.132093214644659,19.18407045879413,0.6324045379578561,0.25574260183153363
GrAdExp,LS,0.15524315308971248,1.0282635446710062,0.15191293724617227,12.329333418814697,18.68179397128039,0.6599651745313453,0.7382698067407123
EarningsConsistency,LS,0.12280309710566151,1.2072844302928523,0.11366131234146448,13.312365673111865,18.62820169164646,0.7146350406481586,1.7512949768485067
EarningsSurprise,LS,0.08169136813653832,0.9086082279585233,0.18177848091706472,13.438979156383358,18.056115510919422,0.7442896091496615,2.1927073239349246
CompEquIss,LS,0.04971118839298683,0.4846491971597139,0.3139626046315197,12.395896181039292,17.99625077188843,0.6888043703193258,1.1819983310754107
PS,LS,0.04170140016470647,0.6574169090085705,0.2554564410542285,10.324295997262011,18.612259722983318,0.5547040580200517,-1.2278694049682555
ChInvIA,LS,0.02645601864039726,0.9882914102665268,0.16150497550571064,13.211850762253214,18.746741435695633,0.7047545200093578,1.5843238231073418
BrandInvest,LS,0.02547620678118312,0.7275480961777269,0.23344513160816693,12.363269932358085,16.89996477220913,0.7315559587845213,1.7232155705359817
Tax,LS,0.021310965902210377,1.0492640934266624,0.14702829351555535,13.005205015899579,17.36628412662119,0.7488766693597735,2.1254654281080922
ChEQ,LS,0.014148065369634644,0.5063659048319308,0.3062999025204285,11.115649136971612,17.583274528236302,0.6321717333777289,0.12215376764829866
fgr5yrLag,LS,0.008069377803177069,1.1455573079941437,0.12598918520110813,11.986209648056143,18.686523582260882,0.6414360378639209,0.3924949719068005
GrLTNOA,LS,0.004590302598972418,0.7503527700973779,0.22652113414990604,10.917242563853,18.03770100222159,0.6052457883911255,-0.31905952012364747
MeanRankRevGrowth,LS,-0.0015997411200840972,0.4899255394873942,0.31209329494845384,12.126415154472275,18.235796182551592,0.6649786514983697,0.7823289960053685
BMdec,LS,-0.004000879432286553,0.26174654480814724,0.3967584267758434,11.610903498558143,18.87190395338826,0.6152481237312318,-0.08725010612398787
NetPayoutYield,LS,-0.02364380128767607,0.6175404741938052,0.26843914672190317,11.963362149185114,17.966162910891644,0.6658829828339446,0.7656947807811783
ChAssetTurnover,LS,-0.036842677382797895,0.126686099245057,0.44959442418970585,11.316017324705976,18.120949501801494,0.6244715445833009,0.03456293970991986
SP,LS,-0.06132324115948329,0.2571370723928776,0.3985364799119613,10.93421584440274,17.80594777656165,0.6140765985394881,-0.17748302121533133
hire,LS,-0.06493392295077172,0.9439669991650513,0.17259325620478183,10.521860856609665,19.180618134738676,0.5485673497431849,-1.352503046143787
IdioVolAHT,LS,-0.06856746546317627,0.5931767799085151,0.2765314253314479,11.803893374878516,17.391946641212737,0.6786988034397186,0.9107740330231913
ChInv,LS,-0.10286925103408784,0.5189327039395378,0.3019038353949125,10.791697746924575,18.846111481667467,0.5726219839791453,-0.8918632450604598
NetDebtPrice,LS,-0.1522236331540583,0.4892096188208671,0.3123466501855662,12.272084487837331,19.434653963791547,0.6314537171951347,0.2505756451590928
MRreversal,LS,-0.15492970730524025,0.03457011780171786,0.48621126489536093,11.269455115417745,18.57583485682259,0.6066728737781961,-0.2623917162948928
GrSaleToGrInv,LS,-0.16729645540192184,0.10323028335889196,0.45889010282641074,10.660166964704661,18.19625099717619,0.5858441371444576,-0.6623085128723281
DolVol,LS,-0.18850232208920126,-0.9070370265957581,0.8178063913378494,10.550009876063504,17.51740879417089,0.6022585874444019,-0.4088065091613897
AssetGrowth,LS,-0.18955791560986146,-0.5077121397484005,0.6941723832035893,10.735504901613737,18.24258376460892,0.588485986422652,-0.6122952568113158
FEPS,LS,-0.20371454881804585,0.19604559796749485,0.4222872381985211,10.861543649970713,17.16206184823658,0.6328810457635513,0.08757592443679041
NetEquityFinance,LS,-0.2068052691794442,0.43639955319863755,0.3312734315401632,11.60458976259866,17.506016556596965,0.6628915107603728,0.6517583051074967
EquityDuration,LS,-0.21728116353942895,-0.6438015937264034,0.7401479499104137,11.191980993337717,17.850376914662547,0.6269884970408927,0.056519431111492935
RoE,LS,-0.2291722401749574,-0.563659793951398,0.7135071575170528,10.704216129165507,17.4868058285942,0.61213101089406,-0.2385317644322953
ExclExp,LS,-0.233452517245758,-0.47028248820302765,0.680923396457586,11.050255944609544,17.92004832039939,0.6166420841639374,-0.12258825476564894
NumEarnIncrease,LS,-0.24277630511502224,-1.1004915136734843,0.8644409874318508,10.813548514881392,18.104201647088395,0.5972949664212605,-0.45880546658863963
MomSeason06YrPlus,LS,-0.24554666841207773,-0.619733532546917,0.7322833824741943,11.043059510749435,18.52403097525986,0.5961477566895788,-0.45995856512982325
ShareIss5Y,LS,-0.25757827350147977,0.5935504095525614,0.27640642875662924,11.484616032201977,18.117837550878445,0.6338844798641626,0.2048532471082023
zerotrade1M,LS,-0.26160080110222417,-1.0557362631874532,0.8544556376386859,10.572891376441737,17.481207322157427,0.6048147122562066,-0.3669199874554776
IntMom,LS,-0.26863066459634766,-0.07755093578411215,0.5309073638269988,11.140786224170387,17.788565010598365,0.626289204190037,0.03836832483266317
OperProfRD,LS,-0.27646513880597023,-0.5091464167575486,0.6946752007696578,10.564228153487928,17.095553032829024,0.6179518225120401,-0.1755630712795737
BetaFP,LS,-0.2777748746097375,-0.3367175616914745,0.631835088312493,10.904238646892301,17.477451285155873,0.6239032493343923,-0.03360312677611077
Mom12mOffSeason,LS,-0.2814575614476622,-0.36915086338200664,0.6439923607188048,11.113501909564363,16.894288969902295,0.6578259629253066,0.4763246902924676
PriceDelayRsq,LS,-0.29241594554030303,-0.8583943733195947,0.8046626332483771,10.621161238286513,17.573170385836494,0.604396418238048,-0.36700574515155715
OrgCap,LS,-0.2936913723241563,-1.085904083338477,0.8612392849144765,10.555172094768661,18.09260927870814,0.5833968960569036,-0.7108877852047355
PctAcc,LS,-0.2945543310292731,-1.1767813729623509,0.8803586104206754,10.677098594500267,18.430879869220572,0.5793048769381293,-0.7742836190977922
AbnormalAccruals,LS,-0.29527406953966384,-0.26446527871071035,0.604289291904079,10.860364137924435,18.672475296289278,0.5816242338305667,-0.7254780897270265
MomOffSeason,LS,-0.29878415083202103,-0.5685456711929198,0.7151677483906261,11.543283348786579,17.892334218955213,0.6451524550976461,0.3853267694511855
ShortInterest,LS,-0.3128414429215409,-1.7793486620561452,0.9624086912118571,10.135033178814584,17.5842375345978,0.5763703520765935,-0.8589701885762473
VolumeTrend,LS,-0.31650261661770873,-1.109370453434218,0.8663647984166419,10.639308397201077,18.260157725413702,0.5826515059283275,-0.7181142274471677
DelNetFin,LS,-0.3191215535266245,-0.40236109094191574,0.6562908496218601,9.868663303746564,17.94491072936238,0.5499421787370027,-1.3175562348186745
RDAbility,LS,-0.3273208756645385,0.4537203018306438,0.3250150763666604,11.808706397731465,18.839824612353226,0.6267949219648534,0.12869930407454877
ResidualMomentum,LS,-0.33280549488816646,-0.4258505779421626,0.6648916353066334,10.99808090438574,17.405440496825385,0.631876045101628,0.09791829876434477
dNoa,LS,-0.33396799227836116,-0.7729323393654925,0.7802187877603188,10.374022855401414,17.129948164197973,0.6056073699676094,-0.383426228513688
DelFINL,LS,-0.3380542441102419,-0.6793935976317131,0.7515557472813619,9.937551747044552,17.599513943097627,0.5646492158348482,-1.0645138407482246
ChTax,LS,-0.3384797113547888,-2.0576805639428835,0.9801895963446292,10.914489402845987,17.840623796032844,0.6117773418479349,-0.2157506809210732
InvestPPEInv,LS,-0.3404844551503139,-1.0314438875915497,0.848833645503198,9.993413609446748,18.08251243483764,0.5526562553438928,-1.2671674521875778
Size,LS,-0.3447444903865504,-1.0113245338257961,0.844069436278281,10.456343527586885,17.457012655215102,0.5989766825576058,-0.47078805737167695
PriceDelaySlope,LS,-0.34613982969495805,-1.8545404911227719,0.9681690635824617,10.49252844985957,18.168189557238552,0.577521960391433,-0.8146404492501711
PriceDelayTstat,LS,-0.3466472818025368,-1.633396289281259,0.9488071615159135,10.525636565797992,18.168156861456822,0.5793453153262784,-0.7815145126329766
DelEqu,LS,-0.34800088784938676,-1.2953699661644185,0.9024036832021047,10.49179917528486,18.126374147941657,0.5788140027152787,-0.792604643276114
Mom6mJunk,LS,-0.3567228023316549,-1.4563464298885633,0.9273515617608139,10.617191131503205,17.032589825602784,0.623345670870546,-0.09036783329866704
OrderBacklog,LS,-0.3574205987734391,-1.373086623126451,0.9151372904464095,10.778925509827971,17.566127820134678,0.6136198950728875,-0.20552941136512892
NOA,LS,-0.36047040782156703,-0.09275540733241841,0.5369510609940458,10.579453383387005,17.328516739158776,0.61052273213204,-0.2806312245960436
BetaTailRisk,LS,-0.36482992046247276,0.009832405999104003,0.4960775007310456,10.564566151155189,17.24198026086864,0.6127234802102106,-0.2506443208810287
ChNNCOA,LS,-0.37703311408581186,-2.094541762010341,0.9818941265389869,10.328831251437487,17.58998319419255,0.5871996088573649,-0.668203602435617
Mom12m,LS,-0.3827033170319627,-0.2882238048172955,0.6134122860048827,10.984265696861929,17.16125638929283,0.6400618607222243,0.210712661682809
LRreversal,LS,-0.3852250807374391,-1.5116501185475755,0.9346885527436765,10.59743439149081,18.529339367243058,0.5719272652658841,-0.9085340915996012
IndMom,LS,-0.38772029156433074,-2.0473069342796166,0.9796860212568409,10.578625534445724,18.07486361719742,0.5852672395481113,-0.6778071095520426
Coskewness,LS,-0.3878208006308004,-2.041320527074646,0.9793905109807134,10.33760641563541,18.048443764241508,0.5727699601511793,-0.9045106413228714
Frontier,LS,-0.39228451427995026,-1.997687265514546,0.9771247121639087,10.596913859031233,17.779314727433405,0.5960248761826709,-0.5005688459191822
PayoutYield,LS,-0.3927330058483447,-0.957403611510751,0.8308182118523255,10.535689484416437,17.30840798312973,0.6087035557912335,-0.31394754153405735
zerotrade12M,LS,-0.39346570941865,-1.1023716727904995,0.8648499392764966,10.547366048876116,17.719653883815432,0.5952354441025366,-0.5183481798505758
IdioVol3F,LS,-0.39969512864885814,-1.1416545714561022,0.8732011845570004,10.499271923167106,17.537262522045502,0.5986836263623713,-0.4699839506334804
IntanCFP,LS,-0.4106654361387463,-1.1019381229145666,0.8647557133282537,10.735607999454286,18.21202853695401,0.5894789796573553,-0.5954839743015832
AOP,LS,-0.4151526222405444,-0.6506816555404531,0.7423739963097664,11.242727502729583,17.54032289290657,0.6409646829977241,0.27186137262478915
MomSeasonShort,LS,-0.4339828272118096,-0.6888509769777486,0.7545414739348104,11.262443041790519,17.303325219056006,0.6508831625835296,0.41544486495076427
OperProf,LS,-0.43980554337395006,-0.626926910882172,0.7346464268867647,9.355746073002708,17.810139070664764,0.5253044929004872,-1.7581919550370433
AdExp,LS,-0.4551840441453514,-1.1695776314860569,0.8789145083141392,9.85491276880669,17.246286232466392,0.5714223129530733,-0.9625252856691695
cfp,LS,-0.45941435547061094,-1.3320603900308137,0.9085798275312651,10.333127979922804,18.028410058441093,0.5731580292675185,-0.8981477809001559
zerotrade6M,LS,-0.4606564627246845,-0.8742395560806454,0.8090060957542892,10.681390248798008,17.647314599609913,0.605270007995104,-0.34594766215952877
GP,LS,-0.46785830598687905,-1.0387308052094553,0.8505350249319483,10.13147701826532,17.115052154862756,0.5919629649148775,-0.6183203579832233
GrSaleToGrOverhead,LS,-0.4746990283371222,-1.733664005584648,0.9585111416959066,10.474280887937468,17.600825584835782,0.5951016807394376,-0.5284772533731417
