name,predictor_set,r2_oos,cw_stat,cw_pvalue,ann_return,ann_vol,sharpe,cer_delta
tail,GW,0.5645919758628271,1.8551657301718791,0.031786281897686175,12.90894679955494,19.074654485723304,0.676759141782454,1.095387921015618
lty,GW,-0.00966793138352795,0.358235250207056,0.360083634754528,12.924466830611669,20.41303395350916,0.6331477652977622,0.3181652805114412
infl,GW,-0.1027356935228374,1.118316127095101,0.13171600076849121,14.103214793883978,21.368346560410863,0.6600049636041099,0.8981990507031758
tbl,GW,-0.11536481433844781,0.6827040113874645,0.2473969472261378,14.5396678640073,22.51515864925428,0.6457723923028571,0.5797601066974947
dtoy,GW,-0.23142032352883035,-0.5963863575622459,0.7245414239494123,10.75784149078006,18.509960706867357,0.581192022022435,-0.737360412060001
skvw,GW,-0.30126711188016575,1.165579505790531,0.12189224892646755,14.461255293804703,21.69503454453148,0.6665698210399879,1.0452152131850312
dtoat,GW,-0.4404347165198885,0.24422248611593203,0.403529256422422,10.002064053314342,18.117211831065774,0.5520752390919058,-1.277358636954765
wtexas,GW,-0.4500046673562963,1.3097410725952072,0.09514172195523285,13.831818187792239,20.529651909585464,0.6737483055586563,1.1538968525675886
e/p,GW,-0.5785878471941786,-1.1794448420659596,0.8808894559431488,9.789644209087292,15.839079372617215,0.6180690164361284,-0.3294245437871899
avgcor,GW,-0.6333428168783906,0.515076929776162,0.30324963162433527,12.174956488340928,21.353416508173726,0.570164333359983,-1.0204916825257238
lzrt,GW,-0.6346690308663749,0.3893894857737149,0.3484940243356326,9.956014472324986,15.26890955118093,0.6520448915459695,0.10299826679936164
dfr,GW,-0.6387356124633259,0.16283520944861674,0.435324092551725,11.640246522115634,16.96225540039656,0.6862440310764036,0.9685526757979401
ntis,GW,-0.6742954434783011,0.6691253246081031,0.25170776829766495,10.174972828348583,18.372420002903205,0.5538177783188463,-1.244136645391043
ygap,GW,-0.7855231093433224,-0.7144319567589409,0.7625199414140609,10.404217503578545,16.264895991360035,0.6396731653928374,0.08009265713868885
rdsp,GW,-0.7976621306207798,-1.0509770901888416,0.8533654439904534,10.051679518234117,16.438900238166653,0.6114569327999724,-0.3578043196652789
ltr,GW,-0.9244387470903837,0.39378325868991076,0.34687053274220203,10.924269285915337,19.272044171184646,0.5668453843754253,-1.0028282344195034
tms,GW,-1.14021610408519,-0.04693556408536338,0.5187177083621679,9.925468488127203,17.677939804098873,0.5614607017626481,-1.118097069926404
ndrbl,GW,-1.1937423900849176,0.2877245815555104,0.38677878599187543,12.720871309944796,22.639835581817984,0.561880021786064,-1.3234832399249425
d/p,GW,-1.3063019792160624,-0.9920474894499044,0.8394128200021831,5.768164618709943,13.027095946914152,0.44278207838611194,-3.1333360357351223
b/m,GW,-1.3116067627633843,-2.1677738986244828,0.9849120531541677,10.426404200796952,17.947329305307136,0.5809446087175656,-0.7611174593935521
dfy,GW,-1.9417539092297043,-1.3103951051754914,0.9049688956712638,4.583910829682143,15.624452351040851,0.29338057595194866,-5.433864061660508
d/e,GW,-2.4890420288352866,-0.26536017268480205,0.6046339928805062,10.712770539456558,17.83853625736453,0.6005408955588414,-0.41635231991653665
svar,GW,-3.4794692798904236,-0.5796900914566772,0.7189381867659941,11.270931027441296,16.68875342642775,0.6753608696496786,0.7372914412262785
