month,Ols,Enet,EnetVal,RidgeVal,Combine,Cenet,Avg
1985-01,31.977858229475714,0.0017372888888888892,0.0017372888888888892,0.06489235985349848,0.0015287993835492709,0.0017372888888888892,0.0010527214565397925
1985-02,0.007077660084458315,0.0025804333333333336,0.0025804333333333336,0.035913558110317476,0.002262494745038394,0.0025804333333333336,-0.0007779904049354685
1985-03,-0.0991497324445968,0.0023306833333333337,0.0023306833333333337,-0.04148699317652909,0.002345023399305731,0.0023306833333333337,0.002374262619824083
1985-04,-0.0006340349317863481,0.0023087833333333336,0.0023087833333333336,0.0063281153911996565,0.002358688333287755,0.0023087833333333336,0.003384047732407694
1985-05,0.26052332565186803,0.0027694888888888888,0.0027694888888888888,0.06239139872879455,0.0030334040366069947,0.0027694888888888888,0.003921450554553409
1985-06,-0.053268343875458146,0.0034146500000000004,0.0034146500000000004,-0.021090653888421414,0.003537761879948441,0.0034146500000000004,0.0027462709049724094
1985-07,-0.036515122465853284,0.003777966666666667,0.003777966666666667,-0.027583642143016805,0.0037425878182751346,0.003777966666666667,0.004451308756935507
1985-08,-0.08813068609794723,0.0033343888888888885,0.0033343888888888885,-0.04873780596485609,0.0029601021917089456,0.0033343888888888885,0.0013730717083722415
1985-09,0.014670954732292497,0.0030207722222222217,0.0030207722222222217,0.023182124948015293,0.00295775486987439,0.0030207722222222217,0.0040787902981930715
1985-10,-0.07130571380010207,0.0026399388888888892,0.0026399388888888892,-0.00734017225070633,0.0027413477775069485,0.0026399388888888892,0.004741780397319586
1985-11,0.07159130061564471,0.0029299999999999994,0.0029299999999999994,0.0929042831545799,0.003120167309632755,0.0029299999999999994,0.003500333169784325
1985-12,0.18108766811475235,0.0030188888888888882,0.0030188888888888882,0.06911359865290946,0.0029932991182373904,0.0030188888888888882,0.0009244535468807236
1986-01,0.2504828646559596,0.002947622222222222,0.002947622222222222,0.15978196809353554,0.0035252143462934345,0.002947622222222222,0.0026258984582502106
1986-02,-0.08735755104967594,0.002725833333333334,0.002725833333333334,-0.004582650827937884,0.002730951186908508,0.002725833333333334,0.0025488105246424097
1986-03,-0.11402191650687415,0.0030658777777777774,0.0030658777777777774,-0.05933592225453739,0.003422865474410072,0.0030658777777777774,0.0022176046361542918
1986-04,0.17024328053390939,0.003142344444444445,0.003142344444444445,0.17365267699615483,0.0033163380663352943,0.003142344444444445,0.0038350218954952926
1986-05,-0.011356836728731737,0.002849494444444444,0.002849494444444444,0.001434890602827062,0.0023211861238703426,0.002849494444444444,0.0024055214452976953
1986-06,-0.031013014857710672,0.0033521388888888893,0.0033521388888888893,-0.04125562011244639,0.0031154228222188864,0.0033521388888888893,0.002411127235729577
1986-07,-0.03395915054243204,0.003417722222222222,0.003417722222222222,0.03295711342147412,0.0037518674170760667,0.003417722222222222,0.005068811004578818
1986-08,-0.1227865662882437,0.0033181999999999994,0.0033181999999999994,-0.1067432612726101,0.0033908424046969927,-0.00036642463603679264,0.004686532620274117
1986-09,-0.18494333255200007,0.0034986499999999994,0.0021661001851517353,-0.06374612435377448,0.002940099412052656,0.0034986499999999994,0.003724300420528376
1986-10,-0.05684142859755846,0.0030597333333333343,0.0030597333333333343,-0.05493267843673622,0.0019785517796428206,0.0030597333333333343,0.0029203466866588035
1986-11,-0.1046253292156127,0.003591772222222222,0.003591772222222222,-0.07367782193211558,0.0034133252529173585,0.003591772222222222,0.0023860564366573384
1986-12,-0.10412628796301954,0.003712761111111112,0.003712761111111112,-0.09126303394723309,0.003399183567805321,0.003712761111111112,0.00394003243200687
1987-01,0.034311730612438966,0.003065022222222222,0.003065022222222222,0.054198160018548845,0.003032375602182618,0.003065022222222222,0.003073424637067634
1987-02,0.06410290056365497,0.003702772222222222,0.003702772222222222,0.00042350444356230527,0.0030868607314179382,0.003702772222222222,0.0024579981583435647
1987-03,0.11462519908412745,0.003756977777777777,0.003756977777777777,0.0852121499233006,0.0038496428041537296,0.003756977777777777,0.0008670236052394668
1987-04,0.1297478543149024,0.003851538888888889,0.003851538888888889,0.059196287764284074,0.002803195629708129,-0.0014913873354203313,0.004517106226367358
1987-05,-0.06473562057423765,0.0037625333333333334,0.0037625333333333334,-0.1012482351147581,0.0030161914218868914,0.0037625333333333334,0.00392484177641038
1987-06,0.09048221393461703,0.003686472222222222,0.003686472222222222,0.08777517750195088,0.0036605096718283076,0.003686472222222222,0.003386602335308228
1987-07,0.029924562783126094,0.004066449999999999,0.004066449999999999,0.009496965553181823,0.004191961219105471,-0.00048176024263223973,0.004026938396751793
1987-08,0.03691909673122984,0.004316994444444445,0.004316994444444445,-0.06533963175611437,0.003624678836320966,0.007266401861260762,0.0038770042571451145
1987-09,-0.07599947798933593,0.0043052333333333335,0.0043052333333333335,-0.05045117001156721,0.004315770171447386,-0.00046402053333418025,0.0035264501662237613
1987-10,0.178330413355681,0.004195438888888889,0.004195438888888889,0.047968764491953975,0.00412830087323364,0.005499904397345456,0.004498372797703649
1987-11,-0.16897207611661902,0.002925033333333333,0.0005127649754067135,-0.15473315966749043,0.003346296787381112,-0.02360358255737253,0.00452745286337701
1987-12,0.3164645941903115,0.002191861111111111,0.003266985033684997,0.1197053654488443,0.002592714996231565,0.010415338200931592,0.0021747482580221447
1988-01,-0.013246379122290874,0.0025255222222222216,-0.0011386572080897689,0.12963858847444634,0.0029064378279175444,0.0191576738459588,0.002469133063527741
1988-02,-0.08988803132618522,0.00286421111111111,0.006017548809115231,0.054832769524025035,0.003065437326434902,-0.005462397911284657,0.002856320002577014
1988-03,0.09669973662176926,0.003312894444444444,0.00033250624986417296,0.21559490431310818,0.0035037056804836583,0.011364377561517846,0.0032898841161288443
1988-04,0.1168737798506637,0.003148705555555555,0.0055131406934125025,0.0902949831028739,0.003615657713600487,0.0096696551934629,0.0030922234144465485
1988-05,-0.11135762580010967,0.0034330388888888885,0.0027987904060416237,-0.05348164571985391,0.0030232504275893384,0.0037911449034834887,0.003439663513288546
1988-06,-0.09613448516283299,0.0019842455888599815,0.0006785369256297243,-0.04542552623213063,0.0036555110264108836,0.01564466457833324,0.00387433363769599
1988-07,-0.1651935903596911,0.0016046270228115018,0.002881329129910836,-0.09450865980323322,0.004473127590389671,0.0042551528496185195,0.0029783015994797896
1988-08,0.0378029979290679,-0.0004973071190868183,0.0015215306331982249,0.056154444417345704,0.003647678838239138,-3.836247060161162e-05,0.0038706421941359604
1988-09,0.15537484516845335,0.003615738888888889,0.002784832802525228,0.08569041831347866,0.0036035307760981196,0.0006622386612044484,0.0036150798301412025
1988-10,0.08232092173485575,0.003621961111111111,0.0014956748214417386,0.07723782964563365,0.003656644173875087,0.002477784114695381,0.0036203867106754605
1988-11,0.23301859750345455,0.0037718444444444442,0.0031637982229323794,0.04370229861034641,0.003793252763922171,0.023715004031105918,0.003766328304258812
1988-12,0.1535616084121289,0.0030539564780681567,0.0029046396514253786,0.10058851674942508,0.0040435895273593266,0.007157455825751578,0.004102553808254922
