month,Ols,Enet,EnetVal,RidgeVal,Combine,Cenet
1985-01,-0.014910235470168565,-0.014226138017638335,-0.0009384425177973478,-0.006173725025529819,0.003215043423762446,0.0017372888888888892
1985-02,0.005484528916375797,-0.003515727281396583,-0.0004464240708016553,-0.004123038963262993,0.003152852924291385,0.0076717157738810495
1985-03,-0.011441896980889987,-0.015065618440091952,-0.00030740176431954917,-0.006861093443148322,0.0021418104039329523,-4.8110178952243586e-05
1985-04,-0.01756530166733089,-0.005003656464830558,-0.0004318627356433378,-0.002890634461020305,0.002682999084574522,0.002101693989071038
1985-05,0.003063084028539942,0.0067413551473695515,-0.00041573440302931225,7.924002591851165e-05,0.003484002982224663,0.0020310108695652178
1985-06,0.0012864882384632792,0.006037890018581266,0.00017159724411353397,-0.0005489505744278311,0.0038279347258817916,0.0023234918918918924
1985-07,-0.004907436650444186,-0.004507257140624568,0.00015582346179505643,-0.0022621110768967084,0.003087170639692309,0.0023678010752688178
1985-08,0.0037045191065328,-0.003351349695251374,0.002035370225759204,-0.0034087724735745867,0.002916497207882334,0.0023042245989304817
1985-09,0.0031341158141083847,0.00018186097232733567,0.0008347592537980833,-0.0018922777822659304,0.003136416230585083,0.0022282819148936174
1985-10,-0.0018481054117933104,-0.006251112727867214,0.00046016964523059624,-0.004440518593542789,0.002382063867257215,0.0020088306878306883
1985-11,0.0020444977649424767,0.001964739354676226,0.0018902127097877193,-0.0010194764025252268,0.002824216358457334,0.002201305263157895
1985-12,0.019246642284392157,0.01383010504299742,0.0025342146596858644,0.002812105101734297,0.004044733053788751,0.00867624225117481
1986-01,0.03166676763873966,0.022193762676673695,0.0027379739583333336,0.0022255808976797617,0.0039586719942122425,0.009397745424043733
1986-02,0.04484550090097461,0.034640252398063176,0.0027191554404145083,0.005762310303050949,0.00458265675657893,0.0027191554404145083
1986-03,0.05565549772056452,0.04869226709572927,0.003072278350515464,0.012116247149612305,0.006004157501219191,0.003072278350515464
1986-04,0.041493606341470035,0.033924771448986535,0.003312071794871795,0.009413705483337254,0.005404181811892963,0.003312071794871795
1986-05,0.029571274452401514,0.004640718190822013,0.0032005408163265307,-0.010230397248715682,0.0030876053673030346,0.0032005408163265307
1986-06,0.034438983646517096,0.028076052406487362,0.003440263959390863,0.0007021261726453242,0.003461133900135291,0.003440263959390863
1986-07,0.045310268534151876,0.03992319259567667,0.003476141414141414,0.0030746700587992253,0.004756679500115766,0.003476141414141414
1986-08,0.04578905346650089,0.0310079617916158,0.0031433919597989948,0.0018494998815451109,0.004608731120979169,0.0031433919597989948
1986-09,0.01999609034089725,-0.008520816322623082,0.0034767599999999993,-0.000960479859855114,0.0029468150404113034,0.0034767599999999993
1986-10,0.06570316681386418,0.047401509765301025,0.003022930348258706,0.0070637615514728205,0.004580240968039978,0.003022930348258706
1986-11,0.026068076736401213,0.007365329017060579,0.003265084158415841,0.0036859422283266607,0.004180915882958871,0.004583725174311589
1986-12,0.04809904541824664,0.028846378626135705,0.003352330049261083,0.0023119874190678,0.004808052615671728,0.005672349489903395
1987-01,0.00473145727500901,-0.009320760740383488,0.003177009803921568,-0.005122411536224669,0.0031226824441773337,0.0025999305118165005
1987-02,0.04254404665014652,0.024364952694587272,0.0038004536585365843,0.001962607609593082,0.004515746305893058,0.003994843818776471
1987-03,0.029837072075413834,0.009275621048960486,0.003963936893203883,0.003560333042907609,0.0045871481204658665,0.003963936893203883
1987-04,0.039028103428081135,0.011754120435786802,0.004049309178743961,0.0019642093013875093,0.0042481291037188,0.004049309178743961
1987-05,0.012852082642407142,-0.0015870557483284031,0.003965201923076923,0.002564874971368189,0.003793283787807819,0.003965201923076923
1987-06,0.03278464102827744,0.009519279404814784,0.003971722488038278,0.0029346767858263365,0.004205973432920998,0.003971722488038278
1987-07,0.047507030700258884,0.021247790055448246,0.004168714285714286,0.004002151248855023,0.0048127073314465346,0.004168714285714286
1987-08,0.02567147940856035,-0.002207849664363687,0.004363379146919432,0.0035891473028700684,0.004308554334047356,0.0035380769615322304
1987-09,0.036377687344699344,0.01050952527137436,0.004505099056603774,0.004878452207821358,0.005116568015410225,0.0061325088254047914
