month,lty,ltr,tms,tbl,d/p,e/p,d/e,b/m,dfy,dfr,infl,ntis,svar,lzrt,wtexas,ndrbl,skvw,tail,dtoy,dtoat,ygap,rdsp,avgcor
1986-02,0.002788156574223319,0.00014653600139807464,0.008002972264687064,0.0037436389002841464,-0.0015087221648429003,-0.0002669596795843391,0.008527948024350085,-0.005002086317918181,0.0042326674476800275,0.004019988957789666,0.007129489456948876,0.014992776173948973,0.0029686327487599205,0.0008070411759725851,0.03692460983654305,8.405365155741713e-05,0.006994319140563441,0.005314362287236581,0.002867531699447043,-0.0042120374825837595,0.00027831642913497823,0.0035154089099108266,0.003052461365808487
1986-03,0.0028895173688804933,0.0314249818941676,0.0025514194322924866,0.004127027088584562,-0.0027139727767995295,-2.76752803232954e-06,0.009677484890544007,-0.004806437530033351,0.005578680630777051,-0.005543711187450804,0.016616157580545236,0.016202825800036715,0.002628152540696971,0.001243575313261476,0.04291823727857695,0.0023640155691908643,2.173815531429993e-06,0.005964263216035319,0.003656169375093192,-0.002807603258833953,0.0005231877914912801,0.0036600143523492306,0.0019422308711364855
1986-04,0.0030178028443809254,0.02222726626244196,0.0015225902568082048,0.005113117163487616,-0.0033673580076236977,0.0003084769099048826,0.0105676907998445,-0.003918922595370852,0.007019114524955055,-0.0044715852778145805,0.02084080425817586,0.016539459622034246,0.003127881447990628,-0.00022034586502345938,0.032686450986311684,0.00021917247365562786,-0.0003207673758403619,0.005129326269422734,0.004188600029219456,-0.0019993575878716682,0.0008804816589647393,0.004288343461955376,0.000917939413529259
1986-05,0.002896264794765199,-0.0009628524636337234,0.004783092912558727,0.0056996598517963445,-0.0031039493486520117,0.00015827978113239997,0.01009403447722141,-0.00404260095055259,0.004883356473311885,0.004812045588632186,0.014825590103146104,0.018684232883883392,0.003886201002193025,0.00019476688450432295,-0.02886455599567713,0.013481802164219639,0.00763429984228358,0.006479172225631803,0.0036045565151645908,-0.0007757261448472705,0.0007464302535886945,0.0035155436104617192,0.0023852789868375017
1986-06,0.003323226058430771,-0.011563603671385096,0.007947063659225432,0.00587041596742963,-0.003614019438894892,0.0005858180159728351,0.010624881208287015,-0.003329546446729,0.0011330906924553984,0.009618094709358328,0.007921268995005355,0.01871260045576168,0.0032228752642732687,0.0027226088851615322,-0.0026447148486986247,0.011499063240486813,-0.001169607704066298,0.0057318232368742394,0.004314371372154295,-0.001553316332332022,0.0011506745499359726,0.004326977072017326,0.004776034762387738
1986-07,0.0032737846033454184,0.016973793883621354,0.00467822803023162,0.005810871413700298,-0.003680551581705025,0.0006805361077261533,0.01057626345265969,-0.003061462184836189,0.0013826079969358994,-0.003817743556895917,0.0033007450878236536,0.014765285024128882,0.0034651677632019746,0.002901124636067908,0.01428664529841441,0.012202239061415139,0.0031369863517828594,0.006634912586799796,0.004416007081347326,-0.0014742833540678998,0.0012424058595869904,0.004304861028038802,0.007405203913339462
1986-08,0.002887319647200389,-0.0012162929135510038,0.007241546931194906,0.005916699651984939,-0.0028200942302800507,0.00015080680333477356,0.009662191446777962,-0.003804788131906253,0.0024495306308583153,0.0064822143249887235,0.012288514774362666,0.012962063038996455,0.003872635766394853,0.0011122922355563218,0.012929590122350742,0.008294679691414363,0.0083424024026063,0.005395052801114689,0.0032266591317820412,0.00044264327587083263,0.0006951537758923647,0.002828460273349897,0.006661534332226656
1986-09,0.003218320396764092,0.013071267990016018,0.006799248316925438,0.006832320351748231,-0.0035808926168858883,0.0006796561397501783,0.010590913046507278,-0.002920240894458432,0.006391322396543581,-0.0025206119167541854,0.009877004055681426,0.013351062279784581,0.003110433816389352,0.0027829547782015213,-0.031025225602736597,0.012383817644005687,-0.00035401046709699485,0.0060836310258168096,0.004020998218427505,-0.001520259237659756,0.0012096793871891783,0.0028850704910494125,0.0064102863302515495
1986-10,0.002756880822299212,-0.009163142483259251,0.011136505234296493,0.006531973846652276,-0.0022072458996442307,3.2650761775809486e-05,0.009316225791620968,-0.0040914511465953134,0.0029219180719284657,0.015085655853454054,0.004372756599688233,0.010237450820332691,0.0059381654804371055,0.0008984195231830291,0.00958570849586219,0.002225919355131555,0.01646559805153129,0.004469041144969495,0.003025536902342388,0.0005314809406390675,0.0005378410960338899,0.00332843311455196,0.01140921988768814
1986-11,0.002976744563668806,0.0074091143205932235,0.010441463770377085,0.006971705768698304,-0.0030382233361213387,0.0002603900164232101,0.01035720024910769,-0.0036447120387915026,0.004544055892873829,-0.0003178690859029559,0.010798799845897928,0.011751523096002464,0.0023628761379509977,0.0038322175996311804,0.0023179816976345094,0.009690400601997511,-0.001848670047537736,0.005544875996492164,0.003317310133976522,-0.0016094192926363396,0.0006992566012463293,0.00342078575382559,0.009923257062646577
1986-12,0.0030308117178028835,0.0070680210986492934,0.008384400171984753,0.006842094436771301,-0.0032507550827021586,0.00037057216179036713,0.010979079716449944,-0.003278050238572954,0.004823839225393974,0.0021013519648184964,0.010920395018151466,0.009809178563904272,0.0035060789348313717,0.0031347375716019796,0.006324956293798158,0.005910598049117024,0.008195101013107872,0.006293705847160807,0.00349640256112275,-0.0021302268572977803,0.0008003120690538643,0.004698198062210966,0.012554407861301083
1987-01,0.0028254187358655995,0.0012973211681948922,0.007700510405900924,0.006264487091643229,-0.0028155893667133162,4.74636371893232e-05,0.010726391416902403,-0.0038489768237656274,0.006406866827563154,0.007759618663633037,0.010415855146402107,0.012522260137414419,0.0026799656944414083,0.003391374529737968,-0.01427315441531107,0.0049160683926542225,-0.0020406474011000486,0.0065300695306735775,0.003140484377708702,-0.0013516254722248724,0.0004625942204482848,0.004441938291764381,0.0046230014270559755
1987-02,0.0036176472879276213,0.005354211378521738,0.008426307119654284,0.007374606962350453,-0.004095320205772395,0.001296262567670384,0.012193441050091437,-0.0017368968760361429,0.004674131130524381,0.005801016090367447,0.0018978826224984868,0.012310295192173004,0.004890076776911092,0.0013892676226709283,-0.0003387129805108276,0.011364254174006851,0.007268909008578293,0.003546368933331323,0.004204697753859384,-0.0009511301310598103,0.0017815274121452465,0.003760429289732032,0.009832892855905141
1987-03,0.0038242741920250104,0.006296417060613983,0.0069298325685673845,0.007350055578460048,-0.004114131159995923,0.0017908409890817372,0.011988313211898263,-0.0007857726959290198,0.003020725988042521,-0.001759418819670382,0.0070460019045085415,0.01208346348949491,0.003680844846121753,0.002602873654811034,0.013737179821034305,0.01022851216806001,-1.7110250190863555e-05,0.004707351595740979,0.0045004746090040355,-0.00018691791401859864,0.0023814638901862462,0.0031728874861244047,0.007026244556744533
1987-04,0.003967680500659449,-0.0017109614400205764,0.008746214501561853,0.007455266929133189,-0.004111242655406112,0.0020737889877951556,0.011538073047099355,-0.00010418274192193488,0.002708831389401891,0.009126777507342984,0.0055226473939932064,0.011273154477017017,0.004512751866610737,0.0027855386747115997,-0.005928428492483167,0.005200192046308512,0.00952322841748686,0.005298664775120917,0.004494931197755856,0.0007329412046755482,0.002733211330098867,0.005215828062122327,0.006652062406468852
