month,Actual
2005-01,-0.025424000000000002
2005-02,0.019552
2005-03,-0.01934
2005-04,-0.021026
2005-05,0.029594000000000002
2005-06,-0.000583
2005-07,0.034964
2005-08,-0.012159
2005-09,0.005167
2005-10,-0.018372
2005-11,0.035189
2005-12,-0.0032600000000000003
2006-01,0.022942
2006-02,-0.0009750000000000002
2006-03,0.009209
2006-04,0.008464
2006-05,-0.032619
2006-06,-0.002413
2006-07,0.0015710000000000003
2006-08,0.019950000000000002
2006-09,0.022387
2006-10,0.028427
2006-11,0.014185
2006-12,0.009768
2007-01,0.010912999999999999
2007-02,-0.023088
2007-03,0.006593999999999999
2007-04,0.039591
2007-05,0.030358999999999997
2007-06,-0.02062
2007-07,-0.035197
2007-08,0.010894000000000001
2007-09,0.034268
2007-10,0.01416
2007-11,-0.044782
2007-12,-0.008816000000000001
2008-01,-0.063266
2008-02,-0.032719000000000005
2008-03,-0.0051
2008-04,0.046828999999999996
2008-05,0.011186
2008-06,-0.084542
2008-07,-0.008806
2008-08,0.013655
2008-09,-0.086967
2008-10,-0.16777999999999998
2008-11,-0.07381199999999999
2008-12,0.011995
2009-01,-0.082615
2009-02,-0.103688
2009-03,0.087434
2009-04,0.09412999999999999
2009-05,0.05464
2009-06,0.002376
2009-07,0.074382
2009-08,0.034650999999999994
2009-09,0.036433999999999994
2009-10,-0.018259
2009-11,0.060257
2009-12,0.018883
2010-01,-0.035751
2010-02,0.030424
2010-03,0.060913999999999996
2010-04,0.015877000000000002
2010-05,-0.080211
2010-06,-0.053625000000000006
2010-07,0.070351
2010-08,-0.045534000000000005
2010-09,0.090283
2010-10,0.038625999999999994
2010-11,-0.000151
2010-12,0.066955
2011-01,0.023249000000000002
2011-02,0.032408
2011-03,0.000525
2011-04,0.029441
2011-05,-0.011313
2011-06,-0.016545
2011-07,-0.019828
2011-08,-0.054423000000000006
2011-09,-0.070238
2011-10,0.109014
2011-11,-0.002727
2011-12,0.009427
2012-01,0.045205
2012-02,0.043341
2012-03,0.032866
2012-04,-0.006034
2012-05,-0.059890000000000006
2012-06,0.041465
2012-07,0.014363
2012-08,0.022644
2012-09,0.02502
2012-10,-0.017936999999999998
2012-11,0.005226
2012-12,0.008408
2013-01,0.052361
2013-02,0.013013
2013-03,0.037584
2013-04,0.019621
2013-05,0.02312
2013-06,-0.013601
2013-07,0.050672
2013-08,-0.029207
2013-09,0.03166
2013-10,0.046268
2013-11,0.030817
2013-12,0.02595
2014-01,-0.034666
2014-02,0.045757
2014-03,0.008056
2014-04,0.006555
2014-05,0.023309
2014-06,0.020635
2014-07,-0.013974
2014-08,0.039777
2014-09,-0.013928
2014-10,0.023972
2014-11,0.027631
2014-12,-0.002473
2015-01,-0.02943
2015-02,0.056976
2015-03,-0.014993
2015-04,0.009101
2015-05,0.012522
2015-06,-0.019343
2015-07,0.021297
2015-08,-0.060073
2015-09,-0.024547
2015-10,0.083449
2015-11,0.003373
2015-12,-0.015347
2016-01,-0.0492
2016-02,-0.0019420000000000001
2016-03,0.06713999999999999
2016-04,0.003647
2016-05,0.018387
2016-06,0.0024749999999999998
2016-07,0.036371
2016-08,0.001047
2016-09,0.000246
2016-10,-0.018144
2016-11,0.035711999999999994
2016-12,0.018903999999999997
2017-01,0.018983999999999997
2017-02,0.039059
2017-03,0.0013650000000000001
2017-04,0.010091
2017-05,0.013952
2017-06,0.005198
2017-07,0.019996
2017-08,0.001338
2017-09,0.019149999999999997
2017-10,0.023232
2017-11,0.030589
2017-12,0.010249
2018-01,0.056960000000000004
2018-02,-0.038761
2018-03,-0.026659
2018-04,0.0023699999999999997
2018-05,0.022400000000000003
2018-06,0.0054399999999999995
2018-07,0.035544000000000006
2018-08,0.031338000000000005
2018-09,0.003638
2018-10,-0.070309
2018-11,0.017952
2018-12,-0.092546
2019-01,0.07930899999999999
2019-02,0.029908
2019-03,0.017631
2019-04,0.038529
2019-05,-0.065287
2019-06,0.067761
2019-07,0.012702999999999999
2019-08,-0.017685
2019-09,0.016991
2019-10,0.020121
2019-11,0.035006
2019-12,0.028387000000000003
2020-01,-0.001192
2020-02,-0.08307200000000001
2020-03,-0.123197
2020-04,0.12889
2020-05,0.047717999999999997
2020-06,0.020248000000000002
2020-07,0.05681
2020-08,0.07196799999999999
2020-09,-0.038251
2020-10,-0.026508999999999998
2020-11,0.109304
2020-12,0.041471999999999995
2021-01,-0.010052
2021-02,0.026104
2021-03,0.043314
2021-04,0.053904
2021-05,0.006208
2021-06,0.023682
2021-07,0.024305
2021-08,0.0306
2021-09,-0.046077
2021-10,0.07051
2021-11,-0.0073560000000000006
2021-12,0.043485
2022-01,-0.052243
2022-02,-0.029293
2022-03,0.037825
2022-04,-0.087676
2022-05,7.400000000000001e-05
2022-06,-0.08228300000000001
2022-07,0.09296600000000001
2022-08,-0.042194999999999996
2022-09,-0.093395
2022-10,0.077948
2022-11,0.051265
2022-12,-0.062084
2023-01,0.06031
2023-02,-0.027665
2023-03,0.033879
2023-04,0.011515000000000001
2023-05,0.001706
2023-06,0.062952
2023-07,0.0272
2023-08,-0.019924
2023-09,-0.051865999999999995
2023-10,-0.02574
2023-11,0.086404
2023-12,0.041206
2024-01,0.011131000000000002
2024-02,0.048831
2024-03,0.027911
2024-04,-0.0445
2024-05,0.045031
2024-06,0.033099
2024-07,0.007648
2024-08,0.019483
2024-09,0.018821
2024-10,-0.01259
2024-11,0.05642
2024-12,-0.027145000000000002
