month,mkt_excess,Rfree
1970-01,-0.08139800000000001,0.006
1970-02,0.053321,0.0062
1970-03,-0.0028939999999999994,0.005699999999999999
1970-04,-0.093831,0.005
1970-05,-0.059989,0.0053
1970-06,-0.054832,0.0058
1970-07,0.07032300000000001,0.0052
1970-08,0.044478000000000004,0.0053
1970-09,0.029301999999999995,0.0054
1970-10,-0.013632,0.0046
1970-11,0.049787,0.0046
1970-12,0.054484,0.0042
1971-01,0.039028,0.0038
1971-02,0.010017000000000002,0.0033
1971-03,0.036067999999999996,0.003
1971-04,0.034165,0.0028000000000000004
1971-05,-0.04005,0.0029
1971-06,-0.001261,0.0037
1971-07,-0.044827000000000006,0.004
1971-08,0.037335999999999994,0.004699999999999999
1971-09,-0.008738,0.0037
1971-10,-0.043829,0.0037
1971-11,-0.0008020000000000002,0.0037
1971-12,0.08418,0.0037
1972-01,0.016188,0.0029
1972-02,0.027721000000000003,0.0025
1972-03,0.004615,0.0027
1972-04,0.002576,0.0029
1972-05,0.019019,0.003
1972-06,-0.023056,0.0029
1972-07,0.00014500000000000016,0.0031
1972-08,0.036525,0.0029
1972-09,-0.006677000000000001,0.0034000000000000002
1972-10,0.006878,0.004
1972-11,0.046597,0.0037
1972-12,0.009963,0.0037
1973-01,-0.021152,0.0044
1973-02,-0.037918,0.0040999999999999995
1973-03,-0.005693,0.0046
1973-04,-0.045264,0.0052
1973-05,-0.01905,0.0051
1973-06,-0.010278,0.0051
1973-07,0.032728,0.0064
1973-08,-0.038544,0.006999999999999999
1973-09,0.035419,0.0068000000000000005
1973-10,-0.006188000000000001,0.006500000000000001
1973-11,-0.11282,0.005600000000000001
1973-12,0.011571000000000001,0.0064
1974-01,-0.01442,0.0063
1974-02,-0.0038079999999999998,0.0058
1974-03,-0.027418,0.005600000000000001
1974-04,-0.045149,0.0075
1974-05,-0.034395999999999996,0.0075
1974-06,-0.018816,0.006
1974-07,-0.083698,0.006999999999999999
1974-08,-0.088177,0.006
1974-09,-0.125611,0.008100000000000001
1974-10,0.16301300000000002,0.0051
1974-11,-0.051088,0.0054
1974-12,-0.025020999999999998,0.006999999999999999
1975-01,0.11781,0.0058
1975-02,0.06316000000000001,0.0043
1975-03,0.019914,0.0040999999999999995
1975-04,0.045024,0.0044
1975-05,0.046793,0.0044
1975-06,0.04212,0.0040999999999999995
1975-07,-0.070304,0.0048
1975-08,-0.020463,0.0048
1975-09,-0.03755,0.0053
1975-10,0.059254999999999995,0.005600000000000001
1975-11,0.025989,0.0040999999999999995
1975-12,-0.015285,0.0048
1976-01,0.115443,0.004699999999999999
1976-02,-0.009156000000000001,0.0034000000000000002
1976-03,0.028640000000000002,0.004
1976-04,-0.01381,0.0042
1976-05,-0.011816,0.0037
1976-06,0.039659,0.0043
1976-07,-0.011902,0.004699999999999999
1976-08,-0.002601,0.0042
1976-09,0.020021,0.0044
1976-10,-0.024311,0.0040999999999999995
1976-11,-0.005041,0.004
1976-12,0.049775,0.004
1977-01,-0.053253999999999996,0.0036
1977-02,-0.019138,0.0034999999999999996
1977-03,-0.016302,0.0038
1977-04,-0.003159,0.0038
1977-05,-0.018764,0.0037
1977-06,0.043775999999999995,0.004
1977-07,-0.019653,0.0042
1977-08,-0.01671,0.0044
1977-09,-0.005125,0.0043
1977-10,-0.046884,0.0049
1977-11,0.031752,0.005
1977-12,0.0006700000000000005,0.0049
1978-01,-0.065543,0.0049
1978-02,-0.02086,0.0046
1978-03,0.021625000000000002,0.0053
1978-04,0.083564,0.0054
1978-05,0.008619,0.0051
1978-06,-0.021977999999999998,0.0054
1978-07,0.051373999999999996,0.005600000000000001
1978-08,0.028040999999999996,0.005600000000000001
1978-09,-0.011363,0.0062
1978-10,-0.09637,0.0068000000000000005
1978-11,0.019771,0.006999999999999999
1978-12,0.008825999999999997,0.0078000000000000005
1979-01,0.034997,0.0077
1979-02,-0.035949,0.0073
1979-03,0.049261,0.008100000000000001
1979-04,-0.003817,0.008
1979-05,-0.025018,0.008199999999999999
1979-06,0.032223999999999996,0.008100000000000001
1979-07,0.004350999999999999,0.0077
1979-08,0.054165000000000005,0.0077
1979-09,-0.006884,0.0083
1979-10,-0.07425999999999999,0.0087
1979-11,0.042877,0.009899999999999999
1979-12,0.008839999999999999,0.0095
1980-01,0.053308,0.008
1980-02,-0.0062889999999999995,0.0089
1980-03,-0.109618,0.0121
1980-04,0.029794,0.0126
1980-05,0.047459999999999995,0.008100000000000001
1980-06,0.023621999999999997,0.0060999999999999995
1980-07,0.0629,0.0053
1980-08,0.007054,0.0064
1980-09,0.020435000000000002,0.0075
1980-10,0.008308999999999999,0.0095
