month,mkt_excess,Rfree,lty,ltr,tms,tbl,d/p,e/p,d/e,b/m,dfy,dfr,infl,ntis,svar,lzrt,wtexas,ndrbl,skvw,tail,dtoy,dtoat,ygap,rdsp,avgcor
1970-01,-0.08139800000000001,0.006,0.0687,-0.0068,-0.009500000000000008,0.0782,0.03432543993048012,0.06278514012600478,0.5467128027681661,0.6510820130941076,0.009300000000000017,-0.006600000000000001,0.005333333333333412,0.03427378325373619,0.0011635548351533978,-1.9710863208424665,0.0,-0.013517850103653741,0.055294446647167206,0.31026607751846313,0.8260927904216339,0.8042606642214741,-2.8417518935270905,0.0328060294020779,0.17790798842906952
1970-02,0.053321,0.0062,0.0693,-0.0021,-0.009400000000000006,0.0787,0.037206892495883326,0.06739590684544813,0.552064572425829,0.7003467462301428,0.009499999999999995,0.0162,0.0026525198938991412,0.03447320792151207,0.001067097271218063,-1.898203593694254,0.0,-0.02388225701882408,-0.03274580091238022,0.3363063931465149,0.7679826598544666,0.7476862784504849,-2.772185696009442,0.03467887320655618,0.16963845491409302
1970-03,-0.0028939999999999994,0.005699999999999999,0.0651,0.0587,-0.006199999999999997,0.0713,0.0353817877094972,0.06346368715083799,0.557512323943662,0.6701475070409856,0.008499999999999994,-0.018600000000000005,0.005291005291005346,0.035855215274286,0.0010587117306881857,-1.8992961419650318,0.0,-0.02808528379100784,0.05856359004974365,0.3250630497932434,0.8025907003148063,0.7813796915037935,-2.827186519927417,0.031732855948691414,0.18856774270534515
1970-04,-0.093831,0.005,0.0661,-0.0068,-0.00019999999999999185,0.0663,0.03536762244784113,0.06281379002566105,0.5630550621669627,0.6903267690975978,0.007900000000000004,0.0023,0.0052631578947368585,0.035841581177216954,0.0009635389970893111,-1.8422324163185868,0.0,-0.03859926176185061,0.03670062497258186,0.3414834141731262,0.8108272694431543,0.7893985831281717,-2.835893283399759,0.030170709075121177,0.1896267533302307
1970-05,-0.059989,0.0053,0.0699,-0.0413,0.004800000000000013,0.06509999999999999,0.03892701177625123,0.06861297841020608,0.5673418160559095,0.7367505807871533,0.0087,0.016300000000000002,0.00785340314136107,0.03571212482675271,0.0016146769913286704,-1.8535913832350763,0.0,-0.04904558129109083,0.058646310120821,0.37223443388938904,0.7597357692109202,0.7396573380897353,-2.750570454373287,0.04925566303104141,0.22701631486415863
1970-06,-0.054832,0.0058,0.0743,-0.0468,0.0059000000000000025,0.0684,0.041497975179621165,0.07258876551273678,0.5716859198044872,0.7742276283478955,0.008700000000000013,0.030500000000000003,0.0025974025974027093,0.03866103028103885,0.008151854425065889,-2.1186972173078313,0.0,-0.03949616963324905,0.16808472573757172,0.3620225787162781,0.7506027840586389,0.7038536903984325,-2.699072474516807,0.03471750453114394,0.4127970337867737
1970-07,0.07032300000000001,0.0052,0.0709,0.0486,0.004100000000000006,0.0668,0.04372937293729373,0.0759075907590759,0.5760869565217392,0.7933814170555791,0.0076999999999999985,-0.048499999999999995,0.005181347150258864,0.042290748025659436,0.0026519110173923743,-1.876434693832961,0.0,-0.02327654812399534,0.025764599442481995,0.32407110929489136,0.7713740802600099,0.6868612771943928,-2.6537170507561245,0.035648420791524554,0.4012664556503296
1970-08,0.044478000000000004,0.0053,0.0687,0.0319,0.004199999999999995,0.0645,0.04078577834721333,0.07004061499039077,0.5823161083438364,0.7387075682449735,0.009600000000000011,0.0237,0.005154639175257714,0.04307382176847931,0.002126476383453863,-1.7351032328508922,0.0,-0.03207577545469153,0.060399074107408524,0.3359531760215759,0.8506112044493367,0.737697834497312,-2.7306284903560707,0.03682034228757794,0.4039539396762848
1970-09,0.029301999999999995,0.0054,0.0694,-0.0019,0.005299999999999999,0.0641,0.03909065260058881,0.06640493130520118,0.5886709289845622,0.7092782965811294,0.013099999999999987,0.0119,0.0,0.03872925270756038,0.0018871043050804042,-1.7075290067232016,0.0,-0.036314448230101874,0.10495132207870483,0.3493220806121826,0.8859046405190893,0.7683062854846003,-2.784583651027127,0.027115856709047575,0.2834474444389343
1970-10,-0.013632,0.0046,0.068,0.0228,0.0068000000000000005,0.061200000000000004,0.037881486759292246,0.06365039781498635,0.5951492537313432,0.7129147604774675,0.013000000000000012,-0.008900000000000002,0.00512820512820511,0.03794241934808444,0.001057964932286218,-1.8656743434689078,0.0,-0.02606918090267359,0.048741865903139114,0.3254314064979553,0.88138578297897,0.7643872782997537,-2.8256465858412243,0.06205110274537513,0.24541698396205902
